Song Name ,Artist,Emotions,Anime,Ratings
Sorairo Days, Shoko Nakagawa, Motivated, Tengen Toppa Gurren Lagann, 10.00
Fire, Queen Bee, Motivated, Dororo, 6.76
Ref, Aimer, Sad, After the Rain, 10.00
Melissa, Porno Graffiti, Intense, Fullmetal Alchemist, 8.54
UNDO, Cool Joke, Intense, Fullmetal Alchemist, 8.87
Rewrite, ASIAN KUNG-FU GENERATION, Intense, Fullmetal Alchemist, 9.32
Tsunai Da Te, Lil'B, Sad, Fullmetal Alchemist, 8.76
Kesenai Tsumi, Nana Kitade, Sad, Fullmetal Alchemist, 8.54
Motherland, Crystal Kay, Sad, Fullmetal Alchemist, 8.21
Tobira no Mukou e, YeLLOW Generation, Motivated, Fullmetal Alchemist, 8.43
I Will, Sowelu, Sad, Fullmetal Alchemist, 8.65
Ready Steady Go!, L'arcenCiel, Sad, Fullmetal Alchemist, 9.09
Again, YUI, Intense, Fullmetal Alchemist: Brotherhood, 9.54
Hologram, NICO Touches the Walls, Intense, Fullmetal Alchemist: Brotherhood, 8.76
Golden Time Lover, Sukima Switch, Intense, Fullmetal Alchemist: Brotherhood, 8.32
Period, CHEMISTRY, Intense, Fullmetal Alchemist: Brotherhood, 8.65
Rain, SID, Sad, Fullmetal Alchemist: Brotherhood, 9.21
Uso, SID, Sad, Fullmetal Alchemist: Brotherhood, 8.87
LET IT OUT, Miho Fukuhara, Sad, Fullmetal Alchemist: Brotherhood, 8.76
Shunkan Sentimental, SCANDAL, Intense, Fullmetal Alchemist: Brotherhood, 8.54
RAY OF LIGHT, Shoko Nakagawa, Motivated, Fullmetal Alchemist: Brotherhood, 8.43
Catch The Moment, LiSA, Happy, Sword Art Online, 9.32
Sadness and Sorrow, Musashi Purojekuto - Toshio Masuda, Sad, Naruto, 7.65
Kimi ni Todoke, May's, Love, Kimi ni Todoke, 7.98
Song of the Dead, Kana-Boon, Happy, Zom 100: Bucket List of the Dead, 8.43
Cry Baby, Official HIGE DANdism, Pain, Tokyo Revengers, 9.09
Tokyo Wonder, Nakimushi, Happy, Tokyo Revengers, 8.32
White Noise, Official HiGE DANdism, Motivated, Tokyo Revengers, 9.21
It Might Be Painful But I Still Love It., TUYU, Love, Tokyo Revengers, 7.87
Say My Name, HEY-SMITH, Intense, Tokyo Revengers, 10.00
Catch The Moment, LiSA, Happy, Sword Art Online, 9.65
INNOCENCE, Eir Aoi, Love, Sword Art Online, 8.43
crossing field, LiSA, Motivated, Sword Art Online, 7.76
Dream World, Haruka Tomatsu, Happy, Sword Art Online, 9.09
Overfly, Luna Haruna, Sad, Sword Art Online, 8.32
Rainbow Voice, Eir Aoi, Love, Sword Art Online, 7.98
IGNITE, Eir Aoi, Intense, Sword Art Online, 10.00
courage, Haruka Tomatsu, Happy, Sword Art Online, 8.54
Separate Ways, Haruka Tomatsu, Love, Sword Art Online, 9.32
Startear, Luna Haruna, Sad, Sword Art Online, 6.87
No More Time Machine, LiSA, Motivated, Sword Art Online, 7.54
LUCK LIFE, LiSA, Happy, Sword Art Online, 8.76
Meteor, Eir Aoi, Intense, Sword Art Online, 9.21
ADAMAS, LiSA, Motivated, Sword Art Online, 8.87
RESISTER, ASCA, Intense, Sword Art Online, 7.65
Iris, Eir Aoi, Sad, Sword Art Online, 6.98
forget-me-not, ReoNa, Pain, Sword Art Online, 8.43
Over the Rainbow, ReoNa, Sad, Sword Art Online, 7.76
Resolution, Haruka Tomatsu, Motivated, Sword Art Online, 9.43
ANIMA, ReoNa, Pain, Sword Art Online, 6.87
unlasting, LiSA, Sad, Sword Art Online, 10.00
I will..., Eir Aoi, Love, Sword Art Online, 9.32
Snow Fairy, FUNKIST, Happy, Fairy Tail, 8.21
S.O.W. Sense of Wonder, Idoling!!!, Motivated, Fairy Tail, 7.54
ft., FUNKIST, Happy, Fairy Tail, 9.21
R.P.G. ~Rockin’ Playing Game, SuG, Intense, Fairy Tail, 8.87
Egao No Mahou, Magic Party, Happy, Fairy Tail, 7.65
Fiesta, +Plus, Love, Fairy Tail, 10.00
Evidence, Daisy×Daisy, Sad, Fairy Tail, 8.32
The Rock City Boy, JAMIL, Sad, Fairy Tail, 9.09
Towa no Kizuna feat. Another Infinity, Daisy×Daisy, Love, Fairy Tail, 7.54
I Wish, Milky Bunny, Intense, Fairy Tail, 8.76
The Starting Sky, +Plus, Motivated, Fairy Tail, 9.43
Tenohira, HERO, Happy, Fairy Tail, 8.65
Breakthrough, GOING UNDER GROUND, Intense, Fairy Tail, 7.98
Fairy Tail: Yakusoku no Hi, Chihiro Yonekura, Sad, Fairy Tail, 10.00
Kanpeki gu~no ne, Watarirouka Hashiri Tai, Happy, Fairy Tail, 8.54
Tsuioku Merry-Go-Round, onelifecrew, Sad, Fairy Tail, 9.21
Sorry I Am, Shiho Nanba, Love, Fairy Tail, 7.87
Kimi ga Iru Kara, Mikuni Shimokawa, Motivated, Fairy Tail, 8.43
HOLY SHINE, Daisy×Daisy, Intense, Fairy Tail, 7.76
-Be As One-, w-inds., Happy, Fairy Tail, 9.32
Hitori Samishiku, ShaNa, Sad, Fairy Tail, 8.09
Don’t think. Feel !!!, Idoling!!!, Motivated, Fairy Tail, 7.54
Kono Te Nobashite, Hi-Fi Camp, Intense, Fairy Tail, 8.87
Boys Be Ambitious!!, Hi-Fi Camp, Motivated, Fairy Tail, 9.09
Glitter (Starving Trancer Remix), Another Infinity ft. Mayumi Morinaga, Love, Fairy Tail, 10.00
YELLKagayaku Tame no Mono, Sata Andagi, Intense, Fairy Tail, 8.43
Secret Base, Shizuka Kudou, Sad, Fairy Tail, 9.09
We’re the stars, Aimi, Love, Fairy Tail, 7.76
MASAYUME CHASING, BoA, Love, Fairy Tail, 8.32
STRIKE BACK, BACK-ON, Motivated, Fairy Tail, 9.21
Mysterious Magic, Do As Infinity, Intense, Fairy Tail, 7.98
BREAK OUT, V6, Motivated, Fairy Tail, 8.65
Yume-iro Graffiti, Tackey & Tsubasa, Happy, Fairy Tail, 9.43
NEVER-END TALE, Tatsuyuki Kobayashi ft. Konomi Suzuki, Sad, Fairy Tail, 8.21
Believe In Myself, EDGE of LIFE, Motivated, Fairy Tail, 9.32
Let tomorrow ring, Kavka Shishido, Happy, Fairy Tail, 8.54
You and Him and Me and Her, BREATHE, Happy, Fairy Tail, 7.87
Key Heart, May J., Love, Fairy Tail, 8.43
Your future, ROOT FIVE, Motivated, Fairy Tail, 9.09
Don’t let me down, Mariya Nishiuchi, Sad, Fairy Tail, 7.65
Never ever, TOKYO GIRLS’ STYLE, Intense, Fairy Tail, 8.87
FOREVER HERE, Yoko Ishida, Love, Fairy Tail, 9.21
A vivid journey, Megumi Mori, Happy, Fairy Tail, 8.65
Landscape, SOLIDEMO, Sad, Fairy Tail, 7.98
MASAYUME CHASING, BoA, Happy, Fairy Tail, 8.76
power of the dream, lol, Motivated, Fairy Tail, 9.54
DOWN BY LAW, THE RAMPAGE from EXILE TRIBE, Intense, Fairy Tail, 8.43
NO-LIMIT, Osaka☆Syunkasyuto, Happy, Fairy Tail, 7.76
MORE THAN LiKE, BiSH, Love, Fairy Tail, 9.09
Endless Harmony, Beverly, Happy, Fairy Tail, 8.87
Pierce, EMPiRE, Sad, Fairy Tail, 7.65
You and My Lullaby, Miyuna, Love, Fairy Tail, 9.32
Exceed, Miyuu, Motivated, Fairy Tail, 8.54
*Asterisk, Orange Range, Happy, Bleach, 8.73
D-tecnolife, UVERworld, Intense, Bleach, 7.95
Ichirin no Hana, High and Mighty Color, Love, Bleach, 9.24
Tonight Tonight Tonight, Beat Crusaders, Motivated, Bleach, 6.85
Rolling star, YUI, Intense, Bleach, 8.17
ALONES, Aqua Timez, Sad, Bleach, 7.41
After Dark, ASIAN KUNG-FU GENERATION, Happy, Bleach, 8.60
CHU-BURA, Kelun, Love, Bleach, 9.12
Velonica, Aqua Timez, Pain, Bleach, 6.50
Shoujo S, SCANDAL, Motivated, Bleach, 7.88
Anima Rossa, Porno Graffitti, Intense, Bleach, 8.95
chAngE, miwa, Sad, Bleach, 6.73
Ranbu no Melody, SID, Love, Bleach, 9.03
BLUE, ViViD, Happy, Bleach, 8.41
HARUKAZE, SCANDAL, Motivated, Bleach, 7.69
Life is Like a Boa, Rie Fu, Intense, Bleach, 8.24
Thank You!!, HOME MADE KAZOKU, Sad, Bleach, 6.12
Houkiboshi, Younha, Love, Bleach, 9.51
Happy People, Skoop on Somebody, Happy, Bleach, 8.87
LIFE, YUI, Pain, Bleach, 6.33
My Pace, SunSet Swish, Love, Bleach, 9.76
Hanabi, Ikimonogakari, Intense, Bleach, 8.08
MOVIN!!, Takacha, Sad, Bleach, 6.94
